OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
160,426.000000000000000,0.000000000000000,2.560000000000000,1091,0,1091,186,6400.000000000000000,2560000.000000000000000,25,
161,803.000000000000000,13.000000000000000,2.560000000000000,2056,33,2023,187,6400.000000000000000,2560000.000000000000000,25,
162,454.000000000000000,16.000000000000000,2.560000000000000,1162,41,1121,188,6400.000000000000000,2560000.000000000000000,25,
163,264.000000000000000,7.000000000000000,2.560000000000000,676,18,658,189,6400.000000000000000,2560000.000000000000000,25,
164,572.000000000000000,0.000000000000000,2.560000000000000,1464,0,1464,190,6400.000000000000000,2560000.000000000000000,25,
165,756.500000000000000,100.000000000000000,2.560000000000000,1937,256,1681,191,6400.000000000000000,2560000.000000000000000,25,
166,561.500000000000000,33.500000000000000,2.560000000000000,1437,86,1351,192,6400.000000000000000,2560000.000000000000000,25,
167,559.000000000000000,41.000000000000000,2.560000000000000,1431,105,1326,193,6400.000000000000000,2560000.000000000000000,25,
168,740.000000000000000,80.000000000000000,2.560000000000000,1894,205,1689,194,6400.000000000000000,2560000.000000000000000,25,
169,321.000000000000000,10.000000000000000,2.560000000000000,822,26,796,195,6400.000000000000000,2560000.000000000000000,25,
170,321.000000000000000,10.000000000000000,2.560000000000000,822,26,796,196,6400.000000000000000,2560000.000000000000000,25,
171,884.000000000000000,23.000000000000000,2.560000000000000,2263,59,2204,197,6400.000000000000000,2560000.000000000000000,25,
172,958.000000000000000,50.000000000000000,2.560000000000000,2452,128,2324,198,6400.000000000000000,2560000.000000000000000,25,
173,927.500000000000000,46.500000000000000,2.560000000000000,2374,119,2255,199,6400.000000000000000,2560000.000000000000000,25,
174,1504.000000000000000,84.000000000000000,2.560000000000000,3850,215,3635,200,6400.000000000000000,2560000.000000000000000,25,
175,988.000000000000000,81.000000000000000,2.560000000000000,2529,207,2322,201,6400.000000000000000,2560000.000000000000000,25,
176,49.000000000000000,2.000000000000000,2.560000000000000,125,5,120,206,6400.000000000000000,2560000.000000000000000,25,
177,67.000000000000000,1.500000000000000,2.560000000000000,172,4,168,207,6400.000000000000000,2560000.000000000000000,25,
178,85.000000000000000,1.000000000000000,2.560000000000000,218,3,215,208,6400.000000000000000,2560000.000000000000000,25,
179,265.000000000000000,0.750000000000000,2.560000000000000,678,2,676,209,6400.000000000000000,2560000.000000000000000,25,
180,156.000000000000000,1.000000000000000,2.560000000000000,399,3,396,210,6400.000000000000000,2560000.000000000000000,25,
181,150.000000000000000,1.000000000000000,2.560000000000000,384,3,381,211,6400.000000000000000,2560000.000000000000000,25,
182,121.000000000000000,0.000000000000000,2.560000000000000,310,0,310,212,6400.000000000000000,2560000.000000000000000,25,
183,121.000000000000000,0.000000000000000,2.560000000000000,310,0,310,213,6400.000000000000000,2560000.000000000000000,25,
184,73.000000000000000,2.000000000000000,2.560000000000000,187,5,182,214,6400.000000000000000,2560000.000000000000000,25,
185,73.000000000000000,2.000000000000000,2.560000000000000,187,5,182,215,6400.000000000000000,2560000.000000000000000,25,
186,73.000000000000000,2.000000000000000,2.560000000000000,187,5,182,216,6400.000000000000000,2560000.000000000000000,25,
187,247.750000000000000,6.250000000000000,2.560000000000000,634,16,618,217,6400.000000000000000,2560000.000000000000000,25,
188,247.500000000000000,10.000000000000000,2.560000000000000,634,26,608,218,6400.000000000000000,2560000.000000000000000,25,
189,253.000000000000000,13.500000000000000,2.560000000000000,648,35,613,219,6400.000000000000000,2560000.000000000000000,25,
190,536.500000000000000,55.750000000000000,2.560000000000000,1373,143,1230,220,6400.000000000000000,2560000.000000000000000,25,
191,574.000000000000000,96.750000000000000,2.560000000000000,1469,248,1221,221,6400.000000000000000,2560000.000000000000000,25,
192,517.000000000000000,51.000000000000000,2.560000000000000,1324,131,1193,222,6400.000000000000000,2560000.000000000000000,25,
193,588.000000000000000,70.500000000000000,2.560000000000000,1505,180,1325,223,6400.000000000000000,2560000.000000000000000,25,
194,308.500000000000000,36.750000000000000,2.560000000000000,790,94,696,224,6400.000000000000000,2560000.000000000000000,25,
195,223.000000000000000,6.500000000000000,2.560000000000000,571,17,554,225,6400.000000000000000,2560000.000000000000000,25,
196,314.000000000000000,5.000000000000000,2.560000000000000,804,13,791,226,6400.000000000000000,2560000.000000000000000,25,
197,87.000000000000000,10.500000000000000,2.560000000000000,223,27,196,227,6400.000000000000000,2560000.000000000000000,25,
198,607.500000000000000,18.000000000000000,2.560000000000000,1555,46,1509,228,6400.000000000000000,2560000.000000000000000,25,
199,864.000000000000000,27.000000000000000,2.560000000000000,2212,69,2143,229,6400.000000000000000,2560000.000000000000000,25,
200,1037.000000000000000,34.000000000000000,2.560000000000000,2655,87,2568,230,6400.000000000000000,2560000.000000000000000,25,
201,49.000000000000000,2.000000000000000,2.560000000000000,125,5,120,235,6400.000000000000000,2560000.000000000000000,25,
202,336.500000000000000,23.000000000000000,2.560000000000000,861,59,802,236,6400.000000000000000,2560000.000000000000000,25,
203,624.000000000000000,44.000000000000000,2.560000000000000,1597,113,1484,237,6400.000000000000000,2560000.000000000000000,25,
204,406.500000000000000,0.500000000000000,2.560000000000000,1041,1,1040,238,6400.000000000000000,2560000.000000000000000,25,
205,156.000000000000000,1.000000000000000,2.560000000000000,399,3,396,239,6400.000000000000000,2560000.000000000000000,25,
206,150.000000000000000,1.000000000000000,2.560000000000000,384,3,381,240,6400.000000000000000,2560000.000000000000000,25,
207,121.000000000000000,0.000000000000000,2.560000000000000,310,0,310,241,6400.000000000000000,2560000.000000000000000,25,
208,535.500000000000000,19.500000000000000,2.560000000000000,1371,50,1321,242,6400.000000000000000,2560000.000000000000000,25,
209,287.500000000000000,16.500000000000000,2.560000000000000,736,42,694,243,6400.000000000000000,2560000.000000000000000,25,
210,73.000000000000000,2.000000000000000,2.560000000000000,187,5,182,244,6400.000000000000000,2560000.000000000000000,25,
211,73.000000000000000,2.000000000000000,2.560000000000000,187,5,182,245,6400.000000000000000,2560000.000000000000000,25,
212,66.500000000000000,8.000000000000000,2.560000000000000,170,20,150,246,6400.000000000000000,2560000.000000000000000,25,
213,60.000000000000000,14.000000000000000,2.560000000000000,154,36,118,247,6400.000000000000000,2560000.000000000000000,25,
214,60.000000000000000,14.000000000000000,2.560000000000000,154,36,118,248,6400.000000000000000,2560000.000000000000000,25,
215,184.000000000000000,23.500000000000000,2.560000000000000,471,60,411,249,6400.000000000000000,2560000.000000000000000,25,
216,233.000000000000000,41.000000000000000,2.560000000000000,596,105,491,250,6400.000000000000000,2560000.000000000000000,25,
217,247.000000000000000,48.000000000000000,2.560000000000000,632,123,509,251,6400.000000000000000,2560000.000000000000000,25,
218,43.000000000000000,4.000000000000000,2.560000000000000,110,10,100,252,6400.000000000000000,2560000.000000000000000,25,
219,125.000000000000000,3.000000000000000,2.560000000000000,320,8,312,253,6400.000000000000000,2560000.000000000000000,25,
220,125.000000000000000,3.000000000000000,2.560000000000000,320,8,312,254,6400.000000000000000,2560000.000000000000000,25,
221,125.000000000000000,3.000000000000000,2.560000000000000,320,8,312,255,6400.000000000000000,2560000.000000000000000,25,
222,174.000000000000000,21.000000000000000,2.560000000000000,445,54,391,256,6400.000000000000000,2560000.000000000000000,25,
223,803.500000000000000,73.500000000000000,2.560000000000000,2057,188,1869,257,6400.000000000000000,2560000.000000000000000,25,
224,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,258,6400.000000000000000,2560000.000000000000000,25,
